fold,weekly_k,yearly_k,n_fourier_terms,validation_RMSE,validation_MAE,validation_MAPE,AICc,specification,status
"Train 2021-2022, validate 2023",2,6,16,15.927865271082963,13.043475021985907,28.909449633314708,4362.562250920859,"Series: train_y  Regression with ARIMA(0,1,5) errors   Coefficients:           ma1      ma2      ma3      ma4      ma5    drift  fourier_1  fourier_2  fourier_3  fourier_4       -0.2619  -0.3615  -0.1935  -0.1005  -0.0566  -0.0127     3.1556    -2.9827    -2.1361    -0.0512 s.e.   0.0374   0.0385   0.0437   0.0402   0.0352   0.0056     0.3685     0.3685     0.1953     0.1955       fourier_5  fourier_6  fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13          1.7952    -5.6685    -1.8266     0.7930     0.9278      1.5082     -0.3481     -1.3148     -0.2809 s.e.     0.7742     0.6671     0.6186     0.5859     0.5848      0.5692      0.5721      0.5627      0.5656       fourier_14  fourier_15  fourier_16           1.3189     -0.5457     -0.7135 s.e.      0.5592      0.5615      0.5568  sigma^2 = 22.38:  log likelihood = -2157.5 AIC=4361   AICc=4362.56   BIC=4466.6",ok
"Train 2021-2022, validate 2023",3,6,18,18.340990724111403,16.19381769817754,36.96553733574444,4461.7581397113645,"Series: train_y  Regression with ARIMA(0,1,0) errors   Coefficients:       fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7  fourier_8  fourier_9          3.1612    -2.9946    -2.1420    -0.0497     0.7392     0.2547     0.5561    -5.6370    -2.4449 s.e.     0.3035     0.3031     0.1683     0.1684     0.1350     0.1350    15.3175    15.2852     7.6590       fourier_10  fourier_11  fourier_12  fourier_13  fourier_14  fourier_15  fourier_16  fourier_17           0.8243      0.5169      1.5395     -0.6549     -1.2835     -0.5252      1.3499     -0.7477 s.e.      7.6429      5.1063      5.0956      3.8301      3.8220      3.0644      3.0579      2.5540       fourier_18          -0.6824 s.e.      2.5486  sigma^2 = 25.89:  log likelihood = -2211.34 AIC=4460.69   AICc=4461.76   BIC=4547.93",ok
"Train 2021-2022, validate 2023",1,8,18,16.045996621459217,13.159384473686563,29.280826523019222,4453.193198939246,"Series: train_y  Regression with ARIMA(2,1,2) errors   Coefficients:          ar1     ar2      ma1      ma2    drift  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5       0.1359  0.1445  -0.4263  -0.5566  -0.0126     3.1444    -3.0000     1.8079    -5.6773    -1.8167 s.e.  0.1207  0.0856   0.1113   0.1109   0.0055     0.3738     0.3738     0.7745     0.6635     0.6197       fourier_6  fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13          0.7840     0.9271     1.5036    -0.3451     -1.3259     -0.2745      1.3128     -0.5434 s.e.     0.5859     0.5860     0.5698     0.5731      0.5634      0.5663      0.5597      0.5618       fourier_14  fourier_15  fourier_16  fourier_17  fourier_18          -0.7240     -0.0599     -0.0529      0.0697      1.6014 s.e.      0.5569      0.5583      0.5544      0.5552      0.5520  sigma^2 = 25.3:  log likelihood = -2201.74 AIC=4451.49   AICc=4453.19   BIC=4561.69",ok
"Train 2021-2022, validate 2023",2,8,20,15.733529689894997,12.826619049783622,28.47616646477138,4362.108637272477,"Series: train_y  Regression with ARIMA(0,1,4) errors   Coefficients:           ma1      ma2      ma3      ma4    drift  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5       -0.2695  -0.3835  -0.2084  -0.1095  -0.0123     3.1507    -2.9808    -2.1385    -0.0498     1.8425 s.e.   0.0372   0.0361   0.0420   0.0375   0.0060     0.3795     0.3795     0.1875     0.1876     0.7698       fourier_6  fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13         -5.6728    -1.8002     0.7881     0.9452      1.5019     -0.3337     -1.3193     -0.2694 s.e.     0.6604     0.5913     0.5567     0.5516      0.5350      0.5367      0.5269      0.5294       fourier_14  fourier_15  fourier_16  fourier_17  fourier_18  fourier_19  fourier_20           1.3135     -0.5373     -0.7194     -0.0607     -0.0542      0.0749      1.6055 s.e.      0.5228      0.5250      0.5201      0.5219      0.5182      0.5195      0.5165  sigma^2 = 22.27:  log likelihood = -2154.05 AIC=4360.11   AICc=4362.11   BIC=4479.49",ok
"Train 2021-2022, validate 2023",3,8,22,19.827205175553065,17.825978280718896,41.18880826845389,4469.501054920071,"Series: train_y  Regression with ARIMA(0,1,0) errors   Coefficients:       fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7  fourier_8  fourier_9          3.1610    -2.9948    -2.1421    -0.0497     0.7392     0.2548     0.5443    -5.6370    -2.4508 s.e.     0.3034     0.3030     0.1682     0.1683     0.1349     0.1349    15.3098    15.2773     7.6552       fourier_10  fourier_11  fourier_12  fourier_13  fourier_14  fourier_15  fourier_16  fourier_17           0.8243      0.5129      1.5396     -0.6578     -1.2834     -0.5275      1.3500     -0.7497 s.e.      7.6389      5.1038      5.0929      3.8282      3.8200      3.0629      3.0564      2.5527       fourier_18  fourier_19  fourier_20  fourier_21  fourier_22          -0.6824     -0.2415     -0.0172     -0.0806      1.6413 s.e.      2.5473      2.1884      2.1838      1.9152      1.9112  sigma^2 = 26.01:  log likelihood = -2210.97 AIC=4467.94   AICc=4469.5   BIC=4573.54",ok
"Train 2021-2023, validate 2024",1,2,6,8.92552598876714,7.233306108454236,16.29101081711457,6868.503425665405,"Series: train_y  Regression with ARIMA(3,1,1) errors   Coefficients:          ar1      ar2     ar3      ma1  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.6976  -0.1934  0.1699  -0.9807     3.5651    -3.4470     1.7444    -5.8138    -2.5263     0.3441 s.e.  0.0305   0.0361  0.0305   0.0060     0.2923     0.2921     1.1436     1.0794     0.8396     0.8167  sigma^2 = 30.81:  log likelihood = -3423.13 AIC=6868.26   AICc=6868.5   BIC=6923.23",ok
"Train 2021-2023, validate 2024",2,2,8,8.734704582208659,7.100281412177696,16.013459561860852,6737.241079000483,"Series: train_y  Regression with ARIMA(2,1,2) errors   Coefficients:           ar1     ar2      ma1      ma2  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       -0.1596  0.5342  -0.0989  -0.8601     3.5651    -3.4332    -2.2154    -0.1619     1.7241    -5.8005 s.e.   0.0694  0.0568   0.0576   0.0568     0.2905     0.2903     0.1725     0.1725     1.1330     1.0700       fourier_7  fourier_8         -2.5348     0.3568 s.e.     0.8021     0.7792  sigma^2 = 27.27:  log likelihood = -3355.45 AIC=6736.9   AICc=6737.24   BIC=6801.87",ok
"Train 2021-2023, validate 2024",3,2,10,8.902887406627784,7.242982746728071,16.09768104344364,6669.675986014905,"Series: train_y  Regression with ARIMA(3,1,3) errors   Coefficients:          ar1      ar2     ar3      ma1     ma2      ma3  fourier_1  fourier_2  fourier_3  fourier_4       1.7858  -1.3215  0.4425  -2.0089  1.4107  -0.3959     3.5629    -3.4403    -2.2157    -0.1613 s.e.  0.1344   0.2120  0.0888   0.1440  0.2723   0.1404     0.3480     0.3478     0.1576     0.1575       fourier_5  fourier_6  fourier_7  fourier_8  fourier_9  fourier_10          0.8826     0.3145     1.6737    -5.8501    -2.5735      0.3120 s.e.     0.1172     0.1172     1.2249     1.1557     0.9498      0.9249  sigma^2 = 25.54:  log likelihood = -3317.55 AIC=6669.11   AICc=6669.68   BIC=6754.07",ok
"Train 2021-2023, validate 2024",1,4,10,9.15550445216793,7.4862950942201785,17.05405069996636,6866.791657681255,"Series: train_y  Regression with ARIMA(3,1,1) errors   Coefficients:          ar1      ar2     ar3      ma1  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.6863  -0.1961  0.1595  -0.9800     3.5660    -3.4470     1.8042    -5.8016    -2.4970     0.3543 s.e.  0.0305   0.0359  0.0305   0.0057     0.2949     0.2947     1.0857     1.0227     0.7872     0.7648       fourier_7  fourier_8  fourier_9  fourier_10          0.5785     0.9847     0.0521     -1.9190 s.e.     0.7151     0.7033     0.6841      0.6766  sigma^2 = 30.64:  log likelihood = -3418.17 AIC=6866.35   AICc=6866.79   BIC=6941.31",ok
"Train 2021-2023, validate 2024",2,4,12,8.973047026820213,7.330725554334666,16.710175373585553,6734.516288685274,"Series: train_y  Regression with ARIMA(2,1,2) errors   Coefficients:           ar1     ar2      ma1      ma2  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       -0.1698  0.5161  -0.1032  -0.8563     3.5662    -3.4331    -2.2149    -0.1621     1.7868    -5.7940 s.e.   0.0708  0.0570   0.0590   0.0582     0.2897     0.2894     0.1733     0.1733     1.0723     1.0104       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12         -2.5035     0.3634     0.5758      0.9928      0.0498     -1.9116 s.e.     0.7608     0.7384     0.6860      0.6744      0.6556      0.6483  sigma^2 = 27.1:  log likelihood = -3349.97 AIC=6733.95   AICc=6734.52   BIC=6818.91",ok
"Train 2021-2023, validate 2024",3,4,14,8.900149468579963,7.282262338601622,16.627150177239802,6679.639100280744,"Series: train_y  Regression with ARIMA(1,1,2) errors   Coefficients:          ar1      ma1      ma2  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7       0.5536  -0.7612  -0.2091     3.5644    -3.4307    -2.2138    -0.1640     0.8837     0.3139     1.7901 s.e.  0.0406   0.0468   0.0436     0.3105     0.3102     0.1664     0.1663     0.1138     0.1138     1.0727       fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14         -5.7878    -2.5003      0.3696      0.5793      0.9987      0.0537     -1.9057 s.e.     1.0122     0.7325      0.7101      0.6493      0.6377      0.6163      0.6091  sigma^2 = 25.75:  log likelihood = -3321.5 AIC=6679   AICc=6679.64   BIC=6768.96",ok
"Train 2021-2023, validate 2024",1,6,14,9.076000735282156,7.401237087849896,16.773977808959017,6865.826278736659,"Series: train_y  Regression with ARIMA(1,1,3) errors   Coefficients:          ar1      ma1      ma2     ma3  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.8016  -1.1106  -0.1575  0.2793     3.5639    -3.4458     1.8422    -5.8152    -2.4791     0.3431 s.e.  0.0560   0.0673   0.0470  0.0504     0.3046     0.3044     1.0870     1.0231     0.7970     0.7742       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          0.5880     0.9735     0.0553     -1.9294      1.0978      1.3536     -0.1671     -0.5914 s.e.     0.7243     0.7122     0.6898      0.6818      0.6658      0.6599      0.6454      0.6407  sigma^2 = 30.5:  log likelihood = -3413.56 AIC=6865.12   AICc=6865.83   BIC=6960.07",ok
"Train 2021-2023, validate 2024",2,6,16,8.816318341042614,7.201565577987407,16.439410328237173,6733.483238598626,"Series: train_y  Regression with ARIMA(3,1,2) errors   Coefficients:           ar1     ar2      ar3      ma1      ma2  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5       -0.1944  0.5167  -0.0528  -0.0690  -0.8853     3.5630    -3.4312    -2.2138    -0.1625     1.8608 s.e.   0.0631  0.0522   0.0339   0.0549   0.0531     0.3027     0.3024     0.1722     0.1722     1.0378       fourier_6  fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13         -5.7895    -2.4651     0.3679     0.6025      0.9973      0.0709     -1.9074      1.1148 s.e.     0.9783     0.7129     0.6910     0.6338      0.6225      0.6024      0.5954      0.5860       fourier_14  fourier_15  fourier_16           1.3737     -0.1490     -0.5733 s.e.      0.5811      0.5755      0.5717  sigma^2 = 26.94:  log likelihood = -3344.27 AIC=6732.54   AICc=6733.48   BIC=6842.49",ok
"Train 2021-2023, validate 2024",3,6,18,8.766221044466969,7.179213126352027,16.39723277000504,6677.700269209953,"Series: train_y  Regression with ARIMA(1,1,2) errors   Coefficients:          ar1      ma1      ma2  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7       0.5311  -0.7491  -0.2204     3.5628    -3.4297    -2.2134    -0.1645     0.8833     0.3141     1.8619 s.e.  0.0412   0.0466   0.0436     0.3104     0.3101     0.1674     0.1674     0.1135     0.1135     1.0392       fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14  fourier_15         -5.7889    -2.4647      0.3681      0.6029      0.9978      0.0721     -1.9067      1.1158 s.e.     0.9802     0.7056      0.6837      0.6238      0.6124      0.5914      0.5844      0.5748       fourier_16  fourier_17  fourier_18           1.3745     -0.1478     -0.5731 s.e.      0.5699      0.5643      0.5606  sigma^2 = 25.6:  log likelihood = -3316.38 AIC=6676.76   AICc=6677.7   BIC=6786.7",ok
"Train 2021-2023, validate 2024",1,8,18,9.09432879702619,7.456338158276391,16.803544483036287,6869.71545137769,"Series: train_y  Regression with ARIMA(1,1,3) errors   Coefficients:          ar1      ma1      ma2     ma3  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.7914  -1.1047  -0.1601  0.2765     3.5613    -3.4448     1.8188    -5.8188    -2.4912     0.3382 s.e.  0.0615   0.0727   0.0476  0.0534     0.3048     0.3046     1.0694     1.0061     0.7753     0.7527       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          0.5799     0.9681     0.0491     -1.9340      1.0928      1.3481     -0.1705     -0.5959 s.e.     0.7021     0.6902     0.6684      0.6607      0.6458      0.6402      0.6271      0.6226       fourier_15  fourier_16  fourier_17  fourier_18          -0.0454      0.1763     -0.6784      1.0469 s.e.      0.6099      0.6062      0.5933      0.5902  sigma^2 = 30.49:  log likelihood = -3411.34 AIC=6868.68   AICc=6869.72   BIC=6983.63",ok
"Train 2021-2023, validate 2024",2,8,20,8.96915097170067,7.352924212703072,16.526595904217253,6730.759492519529,"Series: train_y  Regression with ARIMA(3,1,3) errors   Coefficients:          ar1      ar2     ar3      ma1     ma2      ma3  fourier_1  fourier_2  fourier_3  fourier_4       1.7904  -1.4339  0.4833  -2.0730  1.6444  -0.5618     3.5561    -3.4331    -2.2145    -0.1615 s.e.  0.1151   0.1945  0.0945   0.1215  0.2448   0.1751     0.3594     0.3591     0.1625     0.1625       fourier_5  fourier_6  fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13          1.7816    -5.8186    -2.5088     0.3397     0.5681      0.9697      0.0402     -1.9334      1.0854 s.e.     1.0643     1.0009     0.7692     0.7465     0.6972      0.6852      0.6656      0.6578      0.6455       fourier_14  fourier_15  fourier_16  fourier_17  fourier_18  fourier_19  fourier_20           1.3487     -0.1776     -0.5972     -0.0572      0.1751     -0.6890      1.0446 s.e.      0.6398      0.6294      0.6249      0.6147      0.6109      0.6004      0.5971  sigma^2 = 26.75:  log likelihood = -3337.67 AIC=6729.34   AICc=6730.76   BIC=6864.28",ok
"Train 2021-2023, validate 2024",3,8,22,8.800575143229397,7.218326609570321,16.34562707293284,6680.624869733614,"Series: train_y  Regression with ARIMA(1,1,2) errors   Coefficients:          ar1      ma1      ma2  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7       0.5187  -0.7422  -0.2261     3.5591    -3.4300    -2.2134    -0.1643     0.8832     0.3141     1.8266 s.e.  0.0420   0.0469   0.0436     0.3101     0.3098     0.1680     0.1679     0.1133     0.1133     1.0384       fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14  fourier_15         -5.7912    -2.4804      0.3657      0.5914      0.9951      0.0631     -1.9100      1.1089 s.e.     0.9790     0.6977      0.6755      0.6135      0.6020      0.5802      0.5731      0.5631       fourier_16  fourier_17  fourier_18  fourier_19  fourier_20  fourier_21  fourier_22           1.3717     -0.1536     -0.5752     -0.0312      0.1947     -0.6623      1.0630 s.e.      0.5582      0.5526      0.5489      0.5450      0.5421      0.5389      0.5365  sigma^2 = 25.57:  log likelihood = -3313.65 AIC=6679.31   AICc=6680.62   BIC=6809.25",ok
